Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Technical Team Lead,Java,remote,senior,Appliscale,Warszawa,23000-25500,24000-30000,"""Java"" ""Team Leadership"" ""AWS"" ""Microservice Architecture""","""TypeScript"" ""JavaScript""",/offers/appliscale-technical-team-lead-warszawa
Senior Fullstack Developer with German,Java,office,senior,iteratec,Wrocław,18000-24500,,"""Java"" ""JavaScript"" ""English"" ""SQL"" ""German""",,/offers/iteratec-senior-fullstack-developer-with-german-wroclaw-330050
Senior DevOps Engineer (Azure),DevOps,remote,senior,Awareson Sp. z o.o.,Warszawa,,31000-36000,"""Microsoft Azure"" ""DevOps""",,/offers/awareson-sp-z-o-o-senior-devops-engineer-azure
Software Architect,Architecture,hybrid,c_level,Human4Human Recruitment,Kraków,30000-34000,,"""C++"" ""STL"" ""UML""",,/offers/human4human-recruitment-software-architect
Junior IT Consultant,ERP,hybrid,junior,HyLogic,Warszawa,,7000-10000,"""English""","""SQL"" ""Python"" ""SAP""",/offers/hylogic-junior-it-consultant-warszawa-328657
System Engineer (Backup),C,remote,junior,Fintech S.A,Wrocław,10000-18000,10000-18000,"""Windows""","""Veem"" ""Linux""",/offers/fintech-s-a-system-engineer-backup
IT Service Delivery Manager with German,PM,hybrid,mid,Fujitsu Technology Solutions,Białystok,None-None,,"""SLMO"" ""RLMT"" ""FMIT"" ""ITCM"" ""BURM"" ""SSUP"" ""CSMG""",,/offers/fujitsu-technology-solutions-it-service-delivery-manager-with-german
.NET Developer (MVC and WebForms),Net,remote,mid,DCV Technologies,Warszawa,,22484-23349,"""Polish"" ""MVC"" ""JavaScript""",,/offers/dcv-technologies-net-developer-mvc-and-webforms-warszawa
Software Engineer Full Stack,JS,hybrid,senior,PPG,Wrocław,None-None,,"""Angular"" ""ASP.NET"" ""ASP.NET Web API"" ""Node.js"" ""Azure""",,/offers/ppg-software-engineer-full-stack-net
Lead .NET Full-Stack Engineer,Net,remote,senior,N-iX,Kraków,23757-27717,25737-30885,""".NET Core"" ""Azure"" ""SQL Server"" ""Entity Framework"" ""Leadership"" ""Angular 2+""",,/offers/n-ix-lead-net-full-stack-engineer
Application Security Analyst,Java,remote,mid,First Line Software,Warszawa,,17818-23757,"""Vulnerability Management"" ""Code Review"" ""Security Analysis"" ""penetration testing"" ""Java"" ""Python"" ""Programming""","""Powershell""",/offers/first-line-software-application-security-analyst
ERP Consultant,ERP,remote,mid,EWL Group,Kraków,,None-None,"""ERP"" ""Enova365""",,/offers/ewl-group-erp-consultant-krakow
Privilege Access Management Consultant,Security,remote,mid,Experis Manpower Group,Wrocław,,30240-33600,"""PAM"" ""English"" ""German"" ""IT Security"" ""Cybersecurity""",,/offers/experis-manpower-group-privilege-access-management-consultant-wroclaw
Test Engineer,Testing,remote,mid,Human4Human Recruitment,Warszawa,18000-22000,,"""Java"" ""Cucumber"" ""JIRA""",,/offers/human4human-recruitment-test-engineer-warszawa
Młodszy specjalista / Młodsza specjalistka ds. Procesów IT,PM,remote,junior,Centralny Ośrodek Informatyki,Warszawa,5000-9000,,,"""Microsoft Office"" ""Analityczne Myślenie"" ""JIRA"" ""ISTQB Foundation Level,""",/offers/centralny-osrodekinformatyki-mlodszy-specjalista-ds-procesow-it-warszawa
CICD/DevOps Engineer (wage in € option),DevOps,remote,senior,Unikie,Szczecin,,16000-28000,"""Terraform"" ""GitLab"" ""Shell Scripting"" ""Kubernetes""","""Cloud""",/offers/unikie-cicd-devops-engineer-wage-in-option
Senior Azure Architect/Solution Engineer,Data,hybrid,senior,Luxoft Poland,Wrocław,17000-25000,26000-33000,"""Power BI"" ""Lakehouse Architecture"" ""Apache Kafka"" ""Apache Airflow""","""Apache Flink"" ""ADF"" ""ARM"" ""Terraform""",/offers/luxoft-poland-senior-azure-architect-solution-engineer-wroclaw
Senior Developer .NET,Net,office,senior,DSV ISS,Warszawa,None-None,,""".Net"" "".NET Core"" ""Angular"" ""MS SQL"" ""C#"" ""T-SQL"" ""PL/SQL"" ""Visual Studio"" ""Oracle SQL""",,/offers/dsv-iss-senior-developer-net
Test Automation Engineer,Testing,hybrid,mid,mBank,Warszawa,None-None,,"""C#"" ""JavaScript"" ""TypeScript"" ""Selenium"" ""SpecFlow"" ""SQL""",,/offers/mbank-test-automation-engineer
