Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
.NET Developer with React,Fullstack,.NET,Mid,Objectivity - part of Accenture,Remote,10000  – 18000  PLN,15960  – 27720  PLN,""".NET"" ""React/React.js"" ""C#"" ""React"" ""Angielski (B2)"" ","""DevOps"" ""Cloud"" ""Azure"" ""CI/CD"" ""Docker"" ""SQL"" ""NoSQL"" ",https://nofluffjobs.com/pl/job/net-developer-with-react-objectivity-part-of-accenture-remote
Cloud FinOps Analyst,Business Analysis,,Mid,ASTEK Polska,Warszawa,,16800  – 25200  PLN,"""Degree"" ""Accounting"" ""Google Cloud Platform"" ""BigQuery"" ""Looker"" ""Excel"" ""PowerPoint"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/cloud-finops-analyst-astek-polska-warszawa
Test Manager,Testing,Java,Senior,Devire,Remote,20000  – 22000  PLN,21000  – 22680  PLN,"""Java"" ""Angielski (C1)"" ""Niemiecki (B2)"" ",,https://nofluffjobs.com/pl/job/test-manager-devire-remote
Project Manager,Project Manager,,Mid,AVENGA,Warsaw,,13440  – 18480  PLN,"""Project management"" ""Agile"" ""Jira"" ""MS Office"" ""Polski (C2)"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/project-manager-avenga-warsaw-2
Mid Java/Kotlin/Scala Developer,Backend,Java,Mid,Nussknacker,Warszawa,,11424  – 17136  PLN,"""Java"" ""Spring"" ""Git"" ""Maven"" ""JUnit"" ""JPA"" ""Linux"" ""Gradle"" ""Clean Code"" ""ORM"" ""Angielski (B2)"" ""Polski (B2)"" ","""Docker"" ""NoSQL"" ""Scala"" ""JavaScript"" ""Kotlin"" ",https://nofluffjobs.com/pl/job/mid-java-kotlin-scala-developer-nussknacker-warszawa
Senior Business Analyst,Business Analysis,,Senior,Avenga,Wrocław,15500  – 19200  PLN,21840  – 25200  PLN,"""Business analysis"" ""Jira"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-business-analyst-avenga-wroclaw-2
Mobile Software Engineer iOS,Mobile,iOS,Mid,Allegro,Warszawa,12300  – 17600  PLN,,"""iOS"" ""Swift"" ""Xcode"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/mobile-software-engineer-ios-allegro-warszawa-4
Software Engineer - (Python/Kotlin/Java),Backend,Python,Mid,Allegro,Warszawa,12300  – 17600  PLN,,"""Kotlin"" ""Java"" ""Python"" ""Zabbix"" ""Grafana"" ""Elasticsearch"" ""Graylog"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/software-engineer-python-kotlin-java-allegro-warszawa
MES System Developer,Backend,SQL,Mid,Primetals Technologies Poland Sp. z o. o.,Kraków,8000  – 16000  PLN,,"""MES"" ""Oracle"" ""PL/SQL"" ""SQL"" ""XML"" ""Jasper"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/mes-system-developer-primetals-technologies-poland-krakow
Remote Manual / Automatic Tester,Testing,.NET,Mid,Kredyt Inkaso SA,Remote,7000  – 11000  PLN,7000  – 11000  PLN,""".NET"" ""Polski (C2)"" ""Angielski (B1)"" ",,https://nofluffjobs.com/pl/job/remote-manual-automatic-tester-kredyt-inkaso
Mid C++ Developer,Backend,C++,Mid,Primetals Technologies Poland Sp. z o. o.,Kraków,7000  – 11000  PLN,,"""C++"" ""Visual Studio"" ""SQL"" ""MS Office"" ""Angielski"" ""Polski"" ","""C#"" "".NET"" ""WCF"" ""Git"" ""SVN"" ""Niemiecki"" ",https://nofluffjobs.com/pl/job/mid-c-developer-primetals-technologies-poland-krakow
Senior Fullstack Developer,Fullstack,Java,Senior,Avenga,Warszawa,,20160  – 23520  PLN,"""Angular"" ""Spring Boot"" ""Java"" ""GitLab"" ""MS SQL"" ""REST API"" ""SOAP"" ""HTML"" ""CSS"" ""JavaScript"" ""Docker"" ""Kubernetes"" ""OpenShift"" ""Kafka"" ""RabbitMQ"" ""Polski"" ","""Jira"" ""Confluence"" ""Prometheus"" ""Grafana"" ""Elasticsearch"" ""CI/CD"" ",https://nofluffjobs.com/pl/job/senior-fullstack-developer-avenga-warszawa
ServiceNow Architect,Architecture,,Senior,FUJITSU TECHNOLOGY SOLUTIONS SP. Z O.O. - ODDZIAŁ GDC,Remote,20000  – 30000  PLN,20000  – 30000  PLN,"""ServiceNow"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/servicenow-architect-fujitsu-technology-solutions-oddzial-gdc-remote
Lider utrzymania ruchu,Automatyka,,Mid,Randstad Polska Sp. z o.o.,Poznań,6000  – 8000  PLN,,"""Polski"" ""Angielski (B1)"" ",,https://nofluffjobs.com/pl/job/lider-utrzymania-ruchu-randstad-polska-poznan
Senior Linux Kernel Engineer,Embedded,C,Senior,Diverse CG,Wrocław,,23520  – 31920  PLN,"""Linux"" ""C"" ""ARM"" ""Git"" ""Jenkins"" ""CI"" ""LMBENCH"" ""LTP"" ""Angielski"" ",,https://nofluffjobs.com/pl/job/senior-linux-kernel-engineer-diverse-cg-wroclaw
Senior Customer Support - Remote,IT Support,,Senior,Directio Sp. z o.o.,Remote,,29415  – 37819  PLN,"""JMS"" ""MQTT"" ""Kafka"" ""RabbitMQ"" ""Unix"" ""Linux"" ""DNS"" ""Go"" ""Golang"" ""IoT"" ""Kubernetes"" ""Virtualization"" ""Protocols"" ""UDP"" ""TLS"" ""HTTP"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-customer-support-remote-directio
Elektromechanik - technik utrzymania ruchu,Inżynieria elektryczna,,Mid,Randstad Polska Sp. z o.o.,Błonie,6500  PLN,,"""Polski"" ",,https://nofluffjobs.com/pl/job/elektromechanik-technik-utrzymania-ruchu-randstad-polska-blonie
