Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Software Full-Stack Engineer,Java,hybrid,mid,Clari Poland,Kraków,None-None,None-None,"""Java"" ""JavaScript"" ""React"" ""Kafka""",,/offers/clari-software-full-stack-engineer-plays
Analityk biznesowo-systemowy,Analytics,remote,mid,SPIID,Kraków,None-None,None-None,"""SQL"" ""Oracle"" ""ETL"" ""PostgreSQL"" ""JIRA"" ""SharePoint""","""Git""",/offers/spiid-analityk-biznesowo-systemowy-krakow
Azure DevOps Engineer,DevOps,remote,mid,C&F,Warszawa,None-None,None-None,"""Azure"" ""Terraform"" ""Azure DevOps"" ""ARM"" ""GitHub"" ""CI/CD""",,/offers/c-f-s-a-azure-devops-engineer
Senior Frontend Developer,JS,remote,senior,7N,Warsaw,,23520-27720,"""Vue.js"" ""JavaScript"" ""HTML5 / CSS3""",,/offers/7n-senior-frontend-developer-warsaw
DevOps Engineer,DevOps,remote,senior,Awareson Sp. z o.o.,Warszawa,,25000-28500,"""Terraform"" ""AWS"" ""Python"" ""Docker"" ""Kubernetes""","""Azure"" ""GCP""",/offers/awareson-sp-z-o-o-devops-engineer-warszawa
PM Solution Lead / Project Manager,PM,hybrid,senior,Randstad Polska Sp. z o.o.,Warszawa,,22176-23856,"""Project Management"" ""Business Analysis"" ""Wealth Management"" ""investment management"" ""Capital Markets"" ""Bazy Danych""",,/offers/randstad-polska-sp-z-o-o-pm-solution-lead-project-manager
License Manager / Software License Management Specialist,Support,hybrid,mid,Centralny Ośrodek Informatyki,Warszawa,9000-12000,,"""zarządzanie licencjami"" ""ISO/IEC"" ""Software Asset Management"" ""Oracle"" ""VMware""","""Microsoft""",/offers/centralny-osrodekinformatyki-specjalista-specjalistka-ds-zarzadzania-licencjami-warszawa-320640
Performance Marketing Manager with IT background,Python,remote,mid,Limango Polska,Wrocław,,17000-23000,"""Power BI"" ""Python"" ""JAVA SCRIPT""",,/offers/limango-polska-performance-marketing-manager-with-it-background
Team Leader (Software Team),Mobile,hybrid,senior,Lufthansa Systems,Gdańsk,15000-25000,,"""Team Leadership"" ""Software Development""",,/offers/lufthansa-systems-team-leader-software-team-gdansk
Embedded Python Engineer TALENT POOL,Python,hybrid,mid,Rainlabs Services Sp.z o.o.,Kraków,11000-16000,16800-28560,"""English"" ""Python"" ""Linux"" ""pytest""","""Hardware"" ""AOSP"" ""adb"" ""Databases""",/offers/rainlabs-services-sp-z-o-o-embedded-python-engineer-talent-pool
Product Owner,PM,hybrid,mid,S&P Global,Gdańsk,11000-18000,13000-20100,"""English"" ""Scrum""",,/offers/s-p-global-product-owner-gdynia
Senior Consultant Microsoft Dynamics 365 Marketing,ERP,remote,mid,Onex Group,Gdańsk,,23000-28000,"""Microsoft Dynamics 365""",,/offers/onex-group-senior-consultant-microsoft-dynamics-365-marketing-gdansk
Senior Machine Learning Engineer,Data,remote,senior,Volven,Warszawa,,35000-70000,"""AI"" ""Python 3"" ""Deep Learning"" ""PyTorch"" ""Git"" ""Containers"" ""MLOps""","""Cloud Computing"" ""crypto""",/offers/volven-senior-machine-learning-engineer
System Analyst,Analytics,remote,senior,ASTEK Polska,Wrocław,12000-16500,,"""Enterprise Architect"" ""Postman"" ""Putty"" ""JIRA"" ""Confluence""",,/offers/astek-polska-system-analyst-wroclaw
Backend Developer (PHP) 💻,Data,hybrid,mid,AF AGENCY Sp. z o.o. Sp.K.,Poznań,,8000-15000,"""PHP 7"" ""Laravel"" ""Symfony"" ""MySQL"" ""Docker"" ""REST API"" ""GitHub""","""MS-SQL""",/offers/af-agency-sp-z-o-o-sp-k-backend-developer-php-poznan
IT Service Manager,Support,hybrid,mid,SIX,Warszawa,None-None,,"""ITSM"" ""Communication Skills"" ""Customer Support"" ""Proactivity"" ""Contact with a client"" ""Helpdesk"" ""Problem Solving""","""JIRA""",/offers/six-it-service-manager-warsaw
Full-stack Engineer (Node oriented),JS,remote,senior,Daytrip,Prague,,30372-43388,"""Node.js"" ""JavaScript"" ""React"" ""Next.js"" ""Nest.js""","""React Native"" ""AWS"" ""GraphQL""",/offers/daytrip-full-stack-engineer-node-oriented
Database Specialist,Data,hybrid,senior,HSBC Service Delivery,Kraków,None-None,,"""DB2"" ""RedHat Linux"" ""Databases"" ""English"" ""JIRA"" ""Confluence""",,/offers/hsbc-service-delivery-database-specialist-krakow-323754
DevOps Engineer,DevOps,remote,mid,KLDiscovery,Katowice,11000-16000,,"""Azure DevOps"" ""Linux"" ""Ansible"" ""Terraform"" ""Docker""",,/offers/kldiscovery-devops-engineer-katowice
Senior  Java Developer,Java,office,senior,Luxoft Poland,Warszawa,None-None,,"""Java"" ""Microservices"" ""Kubernetes"" ""RabbitMQ"" ""Hazelcast"" ""Spring Boot""","""Google Cloud""",/offers/luxoft-poland-senior-java-developer-warszawa-318111
Senior Software Engineer - Frontend,JS,remote,senior,Marcura,Wrocław,,24164-34232,"""Angular"" ""TypeScript"" ""JavaScript"" ""CSS"" ""HTML5"" ""JSON"" ""HTTP""","""Design Patterns"" ""Microsoft SQL"" ""Cypress""",/offers/marcura-senior-software-engineer-frontend
Audytor / Audytorka IT,Security,hybrid,mid,Centralny Ośrodek Informatyki,Piaseczno,12000-17000,,"""Cybersecurity"" ""cyberbezpieczeństwo"" ""zdolności analityczne"" ""JIRA""",,/offers/centralny-osrodekinformatyki-audytor-audytorka-it-piaseczno
PHP Developer,PHP,remote,mid,Transparent Data,Warszawa,,9000-18000,"""PHP"" ""OOP"" ""MySQL""","""Microservices"" ""GCP""",/offers/transparent-data-php-developer-c549cbf6-17b3-4905-a51c-5324cf74a17b
Senior React Native Developer,Mobile,hybrid,senior,Forte Digital,Katowice,15500-20500,21000-27700,"""React Native"" ""TypeScript"" ""JavaScript"" ""Git""",,/offers/forte-digital-senior-react-native-developer-katowice
Technical Support Manager ,Support,hybrid,senior,XPERI Poland,Wrocław,None-None,None-None,"""Troubleshooting"" ""JavaScript"" ""HTML"" ""CSS""",,/offers/xperi-poland-technical-account-manager-wroclaw
Fullstack .NET Developer (TERG S.A.),Net,remote,mid,E Net Production Sp. z o.o.,Katowice,8000-11000,9500-13250,""".Net"" ""WebService"" ""C#""","""MS SQL"" ""T-SQL"" ""Visual Studio"" ""Angular"" ""TypeScript"" ""REST API""",/offers/e-net-production-sp-z-o-o-fullstack-net-developer-terg-s-a-katowice
Senior React Native Developer,Mobile,remote,senior,BlockLabs,Warszawa,,24000-28000,"""JavaScript"" ""React Native"" ""Mobile"" ""TypeScript"" ""Android"" ""iOS""",,/offers/blocklabs-senior-react-native-developer-warszawa
Business AI Developer,Python,remote,mid,Haddad Brands,Warszawa,,17000-27000,"""Angielski"" ""Pozyskiwanie Wiedzy"" ""Machine Learning"" ""AI"" ""Analytical Thinking"" ""Data modeling"" ""Python"" ""Java"" ""Microsoft SQL"" ""Linux""",,/offers/haddad-brands-business-ai-developer
Data Engineer,Java,remote,senior,Capco Poland,Wrocław,,25000-30000,"""Java"" ""Scala"" ""Apache Hadoop"" ""Apache Spark"" ""PySpark"" ""Python""",,/offers/capco-poland-data-engineer-wroclaw-329082
System Analyst - Credit Engineering  💰,Analytics,remote,senior,ITDS,Warszawa,14000-17000,18000-21000,"""System Analysis"" ""SQL"" ""BPMN"" ""UML"" ""SOA"" ""WebService"" ""SoapUI"" ""Postman"" ""Swagger""",,/offers/itds-system-analyst-credit-engineering
DataOps Engineer,Data,remote,mid,Trans.eu Group SA,Warszawa,,12000-22000,"""Python"" ""Git"" ""AWS"" ""Snowflake""",,/offers/trans-eu-group-sa-dataops-engineer-warszawa
React Native Expert,JS,remote,senior,Callstack,Wrocław,,31000-41000,"""JavaScript"" ""ReactJS"" ""React Native"" ""English"" ""Android"" ""iOS"" ""Mobile""",,/offers/callstack-react-react-native-expert-warszawa
C++ Developer,C,remote,mid,Optimo Development,Rzeszów,,15000-20000,"""C++"" ""Linux / Unix"" ""MySQL / NoSQL"" ""GIT / SVN""",,/offers/optimo-development-c-developer-302a4015-4326-47f7-a0b4-09fcbb459dcd
IT Administrator,Data,office,mid,Elektro Med,Niepołomice,None-None,,"""SQL"" ""MS Office"" ""analiza"" ""CRM"" ""priorytetyzacja"" ""Dobra organizacja pracy"" ""Angielski"" ""Prawo jazdy"" ""data analyst"" ""Multitasking""",,/offers/elektro-med-it-administrator-niepolomice
Senior Java Backend Developer,Java,remote,senior,Kitopi,Kraków,16500-23100,20000-28000,"""Java"" ""Spring Boot"" ""REST API"" ""OOP"" ""Clean Code"" ""SQL/NoSQL"" ""TDD/BDD"" ""Microservices""","""DDD"" ""Event-Driven Architecture""",/offers/kitopi-senior-java-backend-developer-krakow
Spark Developer,Scala,hybrid,senior,HSBC Service Delivery,Kraków,21000-24000,,"""English"" ""Scala"" ""Spark"" ""Unix""",,/offers/hsbc-service-delivery-spark-developer-krakow
Integration Developer/Consultant,Java,hybrid,mid,CGI,Piaseczno,None-None,,"""REST API"" ""JSON"" ""Web Services""",,/offers/cgi-integration-developer-consultant-piaseczno
Młodszy Inżynier Service Desk,Support,hybrid,mid,GTV Poland,Pruszków,None-None,,"""MS Office"" ""Active Directory"" ""Angielski"" ""sieci LAN, WAN, Wi-Fi,""","""obsługa klienta""",/offers/gtv-poland-mlodszy-inzynier-service-desk
Administrator Baz Danych,Admin,office,mid,PKO Bank Polski,Warszawa,None-None,,"""MsSQL"" ""SSRS"" ""SSIS"" ""Power BI"" ""Powershell"" ""CI/CD"" ""Azure"" ""GCP"" ""T-SQL""",,/offers/pko-bank-polski-administrator-baz-danych-c344fa43-2c38-4aec-ad94-19758698b69b
Senior Angular Software Developer,JS,remote,senior,People More P.S.A.,Katowice,,15000-25000,"""Angular"" ""Jasmine"" ""RxJS"" ""TypeScript"" ""SaaS"" ""Cypress"" ""API"" ""Karma"" ""Jest""","""Azure""",/offers/people-more-p-s-a-senior-angular-software-developer-katowice
AWS Cloud Architect,Architecture,remote,mid,NORDCLOUD,München,27118-34711,,"""AWS"" ""Cloud Computing"" ""Cloud architecture"" ""DevOps tools"" ""Terraform"" ""Containers""","""Powershell"" ""Bash"" ""Databases"" ""SQL""",/offers/nordcloud-aws-cloud-architect-munchen
Email Security Engineer,Security,remote,mid,PwC Polska,Warszawa,None-None,,"""SaaS"" ""Email Security"" ""Problem Solving"" ""DNS"" ""Cybersecurity"" ""Cyber Risks""",,/offers/pwc-polska-email-security-engineer
QA Automation Team Lead (Python),Testing,remote,senior,ScyllaDB,Warsaw,None-None,None-None,"""Python"" ""pytest"" ""Distributed systems"" ""Databases""",,/offers/scylladb-qa-automation-team-lead-python-warsaw
Regular Backend Developer,Java,hybrid,mid,Asseco Data Systems,Szczecin,None-None,None-None,"""Spring"" ""Hibernate"" ""JPA""",,/offers/asseco-data-systems-regular-backend-developer
